[94, True, [200, [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]]
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 69, T 40
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 69, T 79
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 70, T 40
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 70, T 63
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 70, T 86
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 71, T 9
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 71, T 93
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 72, T 9
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 72, T 22
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 72, T 35
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 72, T 38
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 72, T 85
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 72, T 99
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 73, T 74
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 74, T 14
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 74, T 64
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 74, T 84
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 74, T 85
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 74, T 93
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 75, T 38
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 75, T 48
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 75, T 86
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 76, T 4
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 76, T 41
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 76, T 60
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 76, T 76
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 76, T 77
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 77, T 1
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 77, T 49
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 77, T 82
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 78, T 0
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 78, T 17
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 79, T 11
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 79, T 37
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 79, T 45
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 79, T 55
Total of weights must be greater than zero population 4, MUT_RATE 0.05, cut_size 2, max_gens 79, T 68
